storm_id,duration,name,damage,date,wind,pressure,lat,long,rainfall,category,year,month,elevation
AL131998,18.75,Mitch,40000000.0,1998-11-05,55.0,989.0,26.2,-81.9,11.2,0,1998,11,-8.600225448608398
AL132002,12.75,Lili,860000000.0,2002-10-03,92.0,964.25,29.615850000000002,-92.235625,12.08,1,2002,10,0.203010156750679
AL132003,14.0,Isabel,5500000000.0,2003-09-18,90.0,957.5,35.0,-76.30000000000001,20.2,1,2003,9,0.4904651641845703
AL132020,9.25,Laura,19000000000.0,2020-08-20,130.0,937.0,17.1,62.6,11.74,4,2020,8,-3803.080078125
AL141954,13.0,Hazel,281000000.0,1954-10-15,115.0,938.0,33.9,-78.6,11.22,3,1954,10,14.41515159606934
AL141968,8.25,Gladys,6700000.0,1968-10-19,70.0,977.6666666666666,28.784766666666666,-82.62203333333333,17.02,0,1968,10,4.864788055419922
AL141971,29.25,Ginger,10000000.0,1971-09-30,62.0,989.6666666666666,34.676633333333335,-76.91673333333334,15.58,0,1971,9,-5.339105606079102
AL142016,11.5,Matthew,10000000000.0,2016-10-08,80.0,966.3333333333334,32.916666666666664,-79.56666666666666,18.95,1,2016,10,-2.332296848297119
AL142018,9.0,Michael,25000000000.0,2018-10-06,140.0,919.0,30.0,85.5,13.01,4,2018,10,5382.86669921875
AL162005,16.75,Ophelia,70000000.0,2005-09-15,72.0,981.6666666666666,34.47625,-76.34875,17.5,0,2005,9,-20.24078941345215
AL162017,7.5,Nate,225000000.0,2017-10-08,69.0,983.8333333333334,30.40125,-88.94993333333333,9.93,0,2017,10,8.686419486999512
AL171995,9.0,Opal,4700000000.0,1995-10-04,110.0,944.0,30.475,-87.02499999999999,19.42,2,1995,10,-2.695287942886353
AL182005,8.25,Rita,18500000000.0,2005-09-24,100.0,939.1666666666666,29.85333333333333,-93.78316666666666,16.0,2,2005,9,0.5382632613182068
AL182012,9.75,Sandy,65000000000.0,2012-10-29,75.0,945.0,39.4,-74.4,12.83,1,2012,10,0.8246234655380249
AL252005,11.0,Wilma,19000000000.0,2005-10-24,110.0,950.0,25.9,-81.7,13.26,2,2005,10,0.0
AL011900,19.75,AL011900,30000000.0,1900-09-09,120.0,936.0,29.171100000000003,-95.20179999999999,10.25,3,1900,9,1.306691884994507
AL011918,6.75,AL011918,5000000.0,1918-08-06,105.0,955.0,29.8,-93.2,4.91,2,1918,8,0.3470637202262878
AL011926,11.25,AL011926,3051000.0,1926-07-28,90.0,967.0,28.564316666666667,-80.53265,10.4,1,1926,7,-6.941955089569092
AL011929,3.25,AL011929,675000.0,1929-06-28,80.0,982.5,28.383333333333333,-96.51666666666667,3.55,1,1929,6,0.5849409699440002
AL011934,17.25,AL011934,2605000.0,1934-06-16,85.0,966.0,29.7,-91.7,10.0,1,1934,6,-2.299999713897705
AL011943,4.25,AL011943,16550000.0,1943-07-27,90.0,967.0,29.5,-94.6,19.46,1,1943,7,-0.1711058914661407
AL021904,7.75,AL021904,1000000.0,1904-09-14,70.0,,33.2666,-79.275275,8.9,0,1904,9,12.54905319213867
AL021915,18.25,AL021915,50000000.0,1915-08-17,115.0,940.0,29.2,-95.1,19.83,3,1915,8,0.01919042132794857
AL021916,12.25,AL021916,3000000.0,1916-07-05,105.0,950.0,30.4,-88.4,24.45,2,1916,7,0.6263833045959473
AL021919,14.0,AL021919,2000000.0,1919-09-09,127.0,927.0,24.08915,-81.23333333333333,13.3,3,1919,9,-1028.115966796875
AL021919,14.0,AL021919,20000000.0,1919-09-14,100.0,950.0,27.266666666666666,-97.53333333333333,13.3,2,1919,9,-2.400000095367432
AL021920,7.0,AL021920,1450000.0,1920-09-22,85.0,976.0,29.225675000000003,-90.868975,11.92,1,1920,9,0.4762976169586182
AL021929,16.0,AL021929,100000.0,1929-09-28,100.0,949.0714285714286,25.09166666666667,-80.74708333333334,14.48,2,1929,9,-0.1000445932149887
AL021929,16.0,AL021929,200000.0,1929-10-01,70.0,974.7857142857143,30.157899999999998,-85.75475,14.48,0,1929,10,3.204516172409058
AL021932,3.75,AL021932,7500000.0,1932-08-14,130.0,935.0,29.0,-95.2,9.93,4,1932,8,-6.392125606536865
AL021940,7.25,AL021940,9000000.0,1940-08-07,85.0,972.0,29.683333333333334,-94.05,37.5,1,1940,8,0.4864433109760284
AL021941,9.5,AL021941,7000000.0,1941-09-23,110.0,989.0,28.8,-95.6,7.75,2,1941,9,0.679550290107727
AL021942,6.0,AL021942,601000.0,1942-08-21,67.0,,29.549075000000002,-94.650025,10.75,0,1942,8,1.289629578590393
AL021949,9.5,AL021949,52000000.0,1949-08-26,115.0,954.0,26.6,-80.05,11.11,3,1949,8,1.147292613983154
AL031903,7.5,AL031903,670000.0,1903-09-11,75.0,976.0,26.1,-80.1,12.86,1,1903,9,-4.914573192596436
AL031903,7.5,AL031903,0.0,1903-09-13,80.0,988.0,29.7989,-85.4572,12.86,1,1903,9,-10.4693078994751
AL031911,8.25,AL031911,1000000.0,1911-08-28,85.0,972.0,32.2,-80.7,19.12,1,1911,8,3.926610946655273
AL031926,7.25,AL031926,7000000.0,1926-08-25,100.0,955.0,29.136725,-90.89240000000001,14.85,2,1926,8,0.3043016791343689
AL031934,4.5,AL031934,1500000.0,1934-07-25,75.0,979.0,28.1,-97.0,6.75,1,1934,7,-2.040767431259155
AL031935,12.25,AL031935,5000000.0,1935-09-03,160.0,899.4659090909091,25.146533333333334,-81.13974999999999,14.78,5,1935,9,-0.300000011920929
AL031935,12.25,AL031935,1000000.0,1935-09-04,85.0,965.484375,29.675,-83.4,14.78,1,1935,9,1.493064880371094
AL031936,1.5,AL031936,550000.0,1936-06-27,70.0,987.0,28.0,-97.15,16.27,0,1936,6,0.05563396215438843
